x,y
0.969358523137366, -1.8535478136794978
2.691769660622203, -2.32253358894544
4.414180798107044, -2.7838310728135784
6.1365919355918805, -3.2400030290831836
7.859003073076721, -3.6936122215535203
9.581414210561558, -4.131844831228253
11.4114760441392, -4.588016787497857
13.349188573809645, -5.061843338829082
15.286901103480087, -5.510611755234136
17.332264329243337, -5.96985902806286
19.48527825109938, -6.427056089852172
21.745942869048235, -6.863751041247344
24.114258183089888, -7.3054783288301675
26.48257349713154, -7.695018426318818
28.8508888111732, -8.039826646583894
31.21920412521485, -8.33990298962539
33.5875194392565, -8.587792142572713
35.955834753298156, -8.794677074731755
38.32415006733981, -8.943783332143681
40.69246538138147, -9.042566227679078
43.06078069542312, -9.094753417773255
45.42909600946477, -9.08357044846736
47.79741132350643, -9.02020028906729
50.16572663754808, -8.90837059600835
52.534041951589735, -8.742489884637582
54.90235726563139, -8.526285811390295
57.27067257967304, -8.261622204484127
59.63898789371469, -7.948499063919087
62.007303207756344, -7.586916389695173
64.375618521798, -7.189920979335927
66.74393383583964, -6.738874550664857
69.0045984537885, -6.289691950211438
71.04996167955176, -5.850035582870445
72.9876742092222, -5.410379215529453
74.92538673889263, -4.952498750060338
76.75544857247027, -4.506008345921298
78.47785970995511, -4.075464027644369
80.20027084743995, -3.626980362772567
81.9226819849248, -3.1784966979007656
83.64509312240963, -2.7223247416311604
85.36750425989447, -2.2584644939637535
87.08991539737931, -1.7920414824970798
88.91997723095696, -1.3031230999035035
