8 4
7.99013 4.31395
7.96057 4.62667
7.91144 4.93691
7.84292 5.24345
7.75528 5.54508
7.64888 5.84062
7.52414 6.1289
7.38153 6.40877
7.22164 6.67913
7.04508 6.93893
6.85257 7.18712
6.64484 7.42274
6.42274 7.64484
6.18712 7.85257
5.93893 8.04508
5.67913 8.22164
5.40877 8.38153
5.1289 8.52414
4.84062 8.64888
4.54508 8.75528
4.24345 8.84292
3.93691 8.91144
3.62667 8.96057
3.31395 8.99013
3 9
2.68605 8.99013
2.37333 8.96057
2.06309 8.91144
1.75655 8.84292
1.45492 8.75528
1.15938 8.64888
0.871104 8.52414
0.591232 8.38153
0.320866 8.22164
0.0610737 8.04508
-0.18712 7.85257
-0.422736 7.64484
-0.644843 7.42274
-0.852566 7.18712
-1.04508 6.93893
-1.22164 6.67913
-1.38153 6.40877
-1.52414 6.1289
-1.64888 5.84062
-1.75528 5.54508
-1.84292 5.24345
-1.91144 4.93691
-1.96057 4.62667
-1.99013 4.31395
-2 4
-1.99013 3.68605
-1.96057 3.37333
-1.91144 3.06309
-1.84292 2.75655
-1.75528 2.45492
-1.64888 2.15938
-1.52414 1.8711
-1.38153 1.59123
-1.22164 1.32087
-1.04508 1.06107
-0.852566 0.81288
-0.644843 0.577264
-0.422736 0.355157
-0.18712 0.147434
0.0610737 -0.045085
0.320866 -0.22164
0.591232 -0.381533
0.871104 -0.524135
1.15938 -0.648882
1.45492 -0.755283
1.75655 -0.842916
2.06309 -0.911436
2.37333 -0.960574
2.68605 -0.990134
3 -1
3.31395 -0.990134
3.62667 -0.960574
3.93691 -0.911436
4.24345 -0.842916
4.54508 -0.755283
4.84062 -0.648882
5.1289 -0.524135
5.40877 -0.381533
5.67913 -0.22164
5.93893 -0.045085
6.18712 0.147434
6.42274 0.355157
6.64484 0.577264
6.85257 0.81288
7.04508 1.06107
7.22164 1.32087
7.38153 1.59123
7.52414 1.8711
7.64888 2.15938
7.75528 2.45492
7.84292 2.75655
7.91144 3.06309
7.96057 3.37333
7.99013 3.68605
